,Date,Inflation Measure,Value
262,01/01/2007,Overall Inflation,-0.5102706
263,01/01/2007,Services Inflation,-0.4837647
264,01/02/2007,Overall Inflation,-0.5253245
265,01/02/2007,Services Inflation,-0.4940586
266,01/03/2007,Overall Inflation,-0.4129122
267,01/03/2007,Services Inflation,-0.4561053
268,01/04/2007,Overall Inflation,-0.3832486
269,01/04/2007,Services Inflation,-0.4405007
270,01/05/2007,Overall Inflation,-0.3514554
271,01/05/2007,Services Inflation,-0.4223597
272,01/06/2007,Overall Inflation,-0.331003
273,01/06/2007,Services Inflation,-0.4078685
274,01/07/2007,Overall Inflation,-0.391019
275,01/07/2007,Services Inflation,-0.4012102
276,01/08/2007,Overall Inflation,-0.3720594
277,01/08/2007,Services Inflation,-0.3827957
278,01/09/2007,Overall Inflation,-0.33447
279,01/09/2007,Services Inflation,-0.3776267
280,01/10/2007,Overall Inflation,-0.3191575
281,01/10/2007,Services Inflation,-0.3503789
282,01/11/2007,Overall Inflation,-0.2952658
283,01/11/2007,Services Inflation,-0.349596
284,01/12/2007,Overall Inflation,-0.2746965
285,01/12/2007,Services Inflation,-0.3274184
286,01/01/2008,Overall Inflation,-0.3224069
287,01/01/2008,Services Inflation,-0.3085814
288,01/02/2008,Overall Inflation,-0.2983096
289,01/02/2008,Services Inflation,-0.2717025
290,01/03/2008,Overall Inflation,-0.2652866
291,01/03/2008,Services Inflation,-0.2245615
292,01/04/2008,Overall Inflation,-0.2306556
293,01/04/2008,Services Inflation,-0.2639733
294,01/05/2008,Overall Inflation,-0.1847999
295,01/05/2008,Services Inflation,-0.2556087
296,01/06/2008,Overall Inflation,-0.1502045
297,01/06/2008,Services Inflation,-0.2353092
298,01/07/2008,Overall Inflation,-0.1985072
299,01/07/2008,Services Inflation,-0.2211273
300,01/08/2008,Overall Inflation,-0.1670106
301,01/08/2008,Services Inflation,-0.2086319
302,01/09/2008,Overall Inflation,-0.1563179
303,01/09/2008,Services Inflation,-0.1824789
304,01/10/2008,Overall Inflation,-0.1376312
305,01/10/2008,Services Inflation,-0.1487139
306,01/11/2008,Overall Inflation,-0.1062731
307,01/11/2008,Services Inflation,-0.1511356
308,01/12/2008,Overall Inflation,-0.1453432
309,01/12/2008,Services Inflation,-0.1493578
310,01/01/2009,Overall Inflation,-0.1740534
311,01/01/2009,Services Inflation,-0.1629735
312,01/02/2009,Overall Inflation,-0.1146483
313,01/02/2009,Services Inflation,-0.1290806
314,01/03/2009,Overall Inflation,-0.0840191
315,01/03/2009,Services Inflation,-0.1403649
316,01/04/2009,Overall Inflation,-0.0683606
317,01/04/2009,Services Inflation,-0.1224381
318,01/05/2009,Overall Inflation,-0.0299263
319,01/05/2009,Services Inflation,-0.1137526
320,01/06/2009,Overall Inflation,-0.0314085
321,01/06/2009,Services Inflation,-0.1148668
322,01/07/2009,Overall Inflation,-0.070001
323,01/07/2009,Services Inflation,-0.1099402
324,01/08/2009,Overall Inflation,-0.0567829
325,01/08/2009,Services Inflation,-0.1140999
326,01/09/2009,Overall Inflation,-0.0472798
327,01/09/2009,Services Inflation,-0.1068882
328,01/10/2009,Overall Inflation,-0.0304063
329,01/10/2009,Services Inflation,-0.0945057
330,01/11/2009,Overall Inflation,-0.0203486
331,01/11/2009,Services Inflation,-0.0881155
332,01/12/2009,Overall Inflation,-0.0046352
333,01/12/2009,Services Inflation,-0.0717597
334,01/01/2010,Overall Inflation,-0.069565
335,01/01/2010,Services Inflation,-0.0399771
336,01/02/2010,Overall Inflation,0.0102619
337,01/02/2010,Services Inflation,-0.03864
338,01/03/2010,Overall Inflation,0.0496682
339,01/03/2010,Services Inflation,-0.0362074
340,01/04/2010,Overall Inflation,0.0690472
341,01/04/2010,Services Inflation,-0.0348723
342,01/05/2010,Overall Inflation,0.0923908
343,01/05/2010,Services Inflation,-0.0168515
344,01/06/2010,Overall Inflation,0.0920449
345,01/06/2010,Services Inflation,-0.00296
346,01/07/2010,Overall Inflation,0.0735463
347,01/07/2010,Services Inflation,-0.0201464
348,01/08/2010,Overall Inflation,0.1259354
349,01/08/2010,Services Inflation,-0.0008861
350,01/09/2010,Overall Inflation,0.0921575
351,01/09/2010,Services Inflation,0.0026518
352,01/10/2010,Overall Inflation,0.1527752
353,01/10/2010,Services Inflation,-0.0026395
354,01/11/2010,Overall Inflation,0.1950594
355,01/11/2010,Services Inflation,-0.00033
356,01/12/2010,Overall Inflation,0.1783029
357,01/12/2010,Services Inflation,0.009889
358,01/01/2011,Overall Inflation,0.1409926
359,01/01/2011,Services Inflation,0.075329
360,01/02/2011,Overall Inflation,0.2052684
361,01/02/2011,Services Inflation,0.0760398
362,01/03/2011,Overall Inflation,0.225303
363,01/03/2011,Services Inflation,0.0786379
364,01/04/2011,Overall Inflation,0.2472245
365,01/04/2011,Services Inflation,0.0820521
366,01/05/2011,Overall Inflation,0.2698376
367,01/05/2011,Services Inflation,0.0941898
368,01/06/2011,Overall Inflation,0.2651313
369,01/06/2011,Services Inflation,0.1071289
370,01/07/2011,Overall Inflation,0.2641929
371,01/07/2011,Services Inflation,0.0977706
372,01/08/2011,Overall Inflation,0.2872306
373,01/08/2011,Services Inflation,0.1182019
374,01/09/2011,Overall Inflation,0.3324937
375,01/09/2011,Services Inflation,0.1364957
376,01/10/2011,Overall Inflation,0.3246397
377,01/10/2011,Services Inflation,0.1352038
378,01/11/2011,Overall Inflation,0.3371826
379,01/11/2011,Services Inflation,0.13207
380,01/12/2011,Overall Inflation,0.3282936
381,01/12/2011,Services Inflation,0.144896
382,01/01/2012,Overall Inflation,0.2464889
383,01/01/2012,Services Inflation,0.1337719
384,01/02/2012,Overall Inflation,0.3196379
385,01/02/2012,Services Inflation,0.1387115
386,01/03/2012,Overall Inflation,0.3364743
387,01/03/2012,Services Inflation,0.1500896
388,01/04/2012,Overall Inflation,0.3362039
389,01/04/2012,Services Inflation,0.174939
390,01/05/2012,Overall Inflation,0.3504283
391,01/05/2012,Services Inflation,0.1635419
392,01/06/2012,Overall Inflation,0.3160316
393,01/06/2012,Services Inflation,0.1732873
394,01/07/2012,Overall Inflation,0.2970766
395,01/07/2012,Services Inflation,0.1850931
396,01/08/2012,Overall Inflation,0.3308503
397,01/08/2012,Services Inflation,0.1916332
398,01/09/2012,Overall Inflation,0.3661752
399,01/09/2012,Services Inflation,0.2090092
400,01/10/2012,Overall Inflation,0.3689078
401,01/10/2012,Services Inflation,0.212879
402,01/11/2012,Overall Inflation,0.3864744
403,01/11/2012,Services Inflation,0.2272027
404,01/12/2012,Overall Inflation,0.3789424
405,01/12/2012,Services Inflation,0.2329612
406,01/01/2013,Overall Inflation,0.3612102
407,01/01/2013,Services Inflation,0.2428195
408,01/02/2013,Overall Inflation,0.33899
409,01/02/2013,Services Inflation,0.2479862
410,01/03/2013,Overall Inflation,0.3651956
411,01/03/2013,Services Inflation,0.2461689
412,01/04/2013,Overall Inflation,0.3661196
413,01/04/2013,Services Inflation,0.248721
414,01/05/2013,Overall Inflation,0.3815784
415,01/05/2013,Services Inflation,0.2539821
416,01/06/2013,Overall Inflation,0.3643541
417,01/06/2013,Services Inflation,0.2550362
418,01/07/2013,Overall Inflation,0.3471312
419,01/07/2013,Services Inflation,0.2535129
420,01/08/2013,Overall Inflation,0.3606905
421,01/08/2013,Services Inflation,0.2570506
422,01/09/2013,Overall Inflation,0.3978756
423,01/09/2013,Services Inflation,0.2697293
424,01/10/2013,Overall Inflation,0.39446
425,01/10/2013,Services Inflation,0.2758463
426,01/11/2013,Overall Inflation,0.4089794
427,01/11/2013,Services Inflation,0.2802567
428,01/12/2013,Overall Inflation,0.400412
429,01/12/2013,Services Inflation,0.2925538
430,01/01/2014,Overall Inflation,0.3909396
431,01/01/2014,Services Inflation,0.30111
432,01/02/2014,Overall Inflation,0.4166568
433,01/02/2014,Services Inflation,0.25739
434,01/03/2014,Overall Inflation,0.4245209
435,01/03/2014,Services Inflation,0.2649038
436,01/04/2014,Overall Inflation,0.4019236
437,01/04/2014,Services Inflation,0.2676301
438,01/05/2014,Overall Inflation,0.4106615
439,01/05/2014,Services Inflation,0.2804696
440,01/06/2014,Overall Inflation,0.4080035
441,01/06/2014,Services Inflation,0.2884355
442,01/07/2014,Overall Inflation,0.3582896
443,01/07/2014,Services Inflation,0.291569
444,01/08/2014,Overall Inflation,0.3913944
445,01/08/2014,Services Inflation,0.2929633
446,01/09/2014,Overall Inflation,0.4284161
447,01/09/2014,Services Inflation,0.2906253
448,01/10/2014,Overall Inflation,0.4337408
449,01/10/2014,Services Inflation,0.300153
450,01/11/2014,Overall Inflation,0.4134371
451,01/11/2014,Services Inflation,0.3063061
452,01/12/2014,Overall Inflation,0.4169351
453,01/12/2014,Services Inflation,0.3229036
454,01/01/2015,Overall Inflation,0.3793633
455,01/01/2015,Services Inflation,0.3297899
456,01/02/2015,Overall Inflation,0.3798759
457,01/02/2015,Services Inflation,0.3442056
458,01/03/2015,Overall Inflation,0.3888122
459,01/03/2015,Services Inflation,0.3505957
460,01/04/2015,Overall Inflation,0.3817926
461,01/04/2015,Services Inflation,0.3604093
462,01/05/2015,Overall Inflation,0.3802473
463,01/05/2015,Services Inflation,0.3603883
464,01/06/2015,Overall Inflation,0.394248
465,01/06/2015,Services Inflation,0.3733943
466,01/07/2015,Overall Inflation,0.3499221
467,01/07/2015,Services Inflation,0.3776778
468,01/08/2015,Overall Inflation,0.3679071
469,01/08/2015,Services Inflation,0.3655734
470,01/09/2015,Overall Inflation,0.3900751
471,01/09/2015,Services Inflation,0.3762724
472,01/10/2015,Overall Inflation,0.3821055
473,01/10/2015,Services Inflation,0.3725838
474,01/11/2015,Overall Inflation,0.3949256
475,01/11/2015,Services Inflation,0.3857248
476,01/12/2015,Overall Inflation,0.3758618
477,01/12/2015,Services Inflation,0.3941483
478,01/01/2016,Overall Inflation,0.3589963
479,01/01/2016,Services Inflation,0.3927653
480,01/02/2016,Overall Inflation,0.3730227
481,01/02/2016,Services Inflation,0.420114
482,01/03/2016,Overall Inflation,0.3846835
483,01/03/2016,Services Inflation,0.4274038
484,01/04/2016,Overall Inflation,0.3688222
485,01/04/2016,Services Inflation,0.4516435
486,01/05/2016,Overall Inflation,0.3756702
487,01/05/2016,Services Inflation,0.4609677
488,01/06/2016,Overall Inflation,0.367416
489,01/06/2016,Services Inflation,0.4679164
490,01/07/2016,Overall Inflation,0.3366009
491,01/07/2016,Services Inflation,0.479806
492,01/08/2016,Overall Inflation,0.373796
493,01/08/2016,Services Inflation,0.4695089
494,01/09/2016,Overall Inflation,0.4072908
495,01/09/2016,Services Inflation,0.4913448
496,01/10/2016,Overall Inflation,0.4160225
497,01/10/2016,Services Inflation,0.4875379
498,01/11/2016,Overall Inflation,0.4279096
499,01/11/2016,Services Inflation,0.5073311
500,01/12/2016,Overall Inflation,0.4155627
501,01/12/2016,Services Inflation,0.5155589
502,01/11/2017,Overall Inflation,0.5293529
503,01/11/2017,Services Inflation,0.5845631
504,01/12/2017,Overall Inflation,0.5289317
505,01/12/2017,Services Inflation,0.5862267
506,01/01/2018,Overall Inflation,0.5238507
507,01/01/2018,Services Inflation,0.6144062
508,01/02/2018,Overall Inflation,0.5282986
509,01/02/2018,Services Inflation,0.5755619
510,01/03/2018,Overall Inflation,0.547195
511,01/03/2018,Services Inflation,0.5874372
512,01/04/2018,Overall Inflation,0.5459847
513,01/04/2018,Services Inflation,0.5845618
514,01/05/2018,Overall Inflation,0.5601593
515,01/05/2018,Services Inflation,0.5951925
516,01/06/2018,Overall Inflation,0.5463053
517,01/06/2018,Services Inflation,0.5927856
518,01/07/2018,Overall Inflation,0.5383545
519,01/07/2018,Services Inflation,0.5970082
520,01/08/2018,Overall Inflation,0.574961
521,01/08/2018,Services Inflation,0.5880617
522,01/09/2018,Overall Inflation,0.5983516
523,01/09/2018,Services Inflation,0.5868453
524,01/10/2018,Overall Inflation,0.5927676
525,01/10/2018,Services Inflation,0.5930624
526,01/11/2018,Overall Inflation,0.6124532
527,01/11/2018,Services Inflation,0.6080474
528,01/12/2018,Overall Inflation,0.6113472
529,01/12/2018,Services Inflation,0.629326
530,01/09/2019,Overall Inflation,0.7047918
531,01/09/2019,Services Inflation,0.7373402
532,01/10/2019,Overall Inflation,0.68837
533,01/10/2019,Services Inflation,0.7293244
534,01/11/2019,Overall Inflation,0.7146888
535,01/11/2019,Services Inflation,0.7460346
536,01/12/2019,Overall Inflation,0.7119408
537,01/12/2019,Services Inflation,0.7503229
538,01/01/2020,Overall Inflation,0.6879727
539,01/01/2020,Services Inflation,0.7479703
540,01/02/2020,Overall Inflation,0.6872931
541,01/02/2020,Services Inflation,0.7588575
542,01/03/2020,Overall Inflation,0.7060558
543,01/03/2020,Services Inflation,0.7644908
544,01/04/2020,Overall Inflation,0.3527723
545,01/04/2020,Services Inflation,0.8493009
546,01/05/2020,Overall Inflation,0.404577
547,01/05/2020,Services Inflation,0.8821971
548,01/06/2020,Overall Inflation,0.4900009
549,01/06/2020,Services Inflation,0.8995369
550,01/07/2020,Overall Inflation,0.632005
551,01/07/2020,Services Inflation,0.9267164
552,01/08/2020,Overall Inflation,0.6075318
553,01/08/2020,Services Inflation,0.8213803
554,01/09/2020,Overall Inflation,0.6908521
555,01/09/2020,Services Inflation,0.9003126
556,01/10/2020,Overall Inflation,0.7037467
557,01/10/2020,Services Inflation,0.9400095
558,01/11/2020,Overall Inflation,0.5505193
559,01/11/2020,Services Inflation,0.9378065
